mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error
0.31,527.63,0,2.63255,9.429309283,3.07071804,0.279188,0.0596608,1.025402494,1.389509219,120.023,210.9693591,14.5247843,0.568912,0.12545,27.72611218,1.231006659,84.2715,278.7991372,16.69727933,0.302266,0.0179427,7.106089488,1.084323757,161.26,210.5345614,14.50980915,0.765955,0.60261,127.3560901,1.789756233,0.674361,0.821194861,1,0,0.821194861,2.217737771,3.27616,1.810016575,1,0,1.810016575,1.552481129,80.6004,416.6773506,8.977772552,0.193436,0.337143,140.4905858,2.743050726,6.57472,2.564121682,1,0,2.564121682,1.389997092
0.32,507.075,0,2.32006,8.643877722,2.940047231,0.268405,0.0608017,0.948120037,1.408661861,109.538,192.4700896,13.87335899,0.569117,0.131283,26.47289799,1.241677756,80.7324,258.6267211,16.08187555,0.312158,0.0186849,6.968033701,1.086310251,132.552,198.1789639,14.07760505,0.66885,0.612361,121.7217954,1.918294672,0.674361,0.821194861,1,0,0.821194861,2.217737771,3.04865,1.746038373,1,0,1.746038373,1.572725099,65.3881,378.9076896,8.086290868,0.17257,0.343591,130.1967504,2.991138303,6.00732,2.450983476,1,0,2.450983476,1.407999487
0.33,475.891,0,1.9224,7.929057538,2.815858224,0.24245,0.0576009,0.821388955,1.427272656,99.2477,176.1347422,13.27157648,0.563476,0.141373,25.99939237,1.261964684,74.6817,240.4626902,15.50685946,0.310575,0.0190257,6.642637177,1.088945982,130.828,183.5489478,13.54802376,0.712769,0.624307,114.997056,1.878994222,0.434254,0.658979514,1,0,0.658979514,2.517497856,2.81155,1.676767724,1,0,1.676767724,1.596385525,53.9479,351.5712163,7.344923417,0.153448,0.325503,114.4430356,3.121362195,5.2726,2.296214276,1,0,2.296214276,1.435499426
0.34,450.058,0,1.82405,7.613246017,2.759211122,0.239589,0.0583069,0.796287488,1.436549156,87.8564,161.6618028,12.71462948,0.543458,0.147426,24.81462154,1.282445235,68.4389,220.9709446,14.86509148,0.309719,0.0199719,6.377558053,1.093186157,146.341,162.6649119,12.75401552,0.899647,0.806384,131.6712742,1.899756556,0.434254,0.658979514,1,0,0.658979514,2.517497856,2.66893,1.633686016,1,0,1.633686016,1.612112725,47.8219,326.4449496,6.915338025,0.146493,0.329492,107.5657699,3.249299377,4.77756,2.185763025,1,0,2.185763025,1.457506138
0.35,430.513,0,1.60938,6.860365487,2.619229942,0.234591,0.0611064,0.743831274,1.462184987,87.6676,146.5038319,12.10387673,0.598398,0.164628,25.18270372,1.287252117,61.1071,201.3559467,14.1899946,0.303478,0.0206861,5.991170872,1.098043777,174.728,152.9173923,12.36597721,1.14263,1.05771,162.3582659,1.929205771,0.434254,0.658979514,1,0,0.658979514,2.517497856,2.64416,1.626087329,1,0,1.626087329,1.614973121,38.2255,301.2372434,6.182677414,0.126895,0.345312,104.0237936,3.72131937,3.62216,1.90319731,1,0,1.90319731,1.525431596
0.36,410.174,0,1.33117,5.80751696,2.409879034,0.229215,0.0614438,0.657613867,1.494011935,91.5294,129.1821094,11.36583079,0.70853,0.190847,25.93591971,1.283361627,54.431,185.37843,13.61537477,0.293621,0.0211116,5.594517461,1.102781824,180.642,144.6895425,12.02869662,1.24848,1.1518,167.3286845,1.9263,0.434254,0.658979514,1,0,0.658979514,2.517497856,0.728749,0.853667968,1,0,0.853667968,2.171415629,33.9708,283.2339773,5.828447478,0.119939,0.347219,98.34670287,3.89503641,3.62216,1.90319731,1,0,1.90319731,1.525431596
0.37,392.116,0,1.10749,5.255617511,2.292513361,0.210725,0.062308,0.583618434,1.526973999,91.4293,122.2393653,11.05619127,0.747953,0.217553,27.84961801,1.30460277,50.859,173.5499964,13.17383757,0.293051,0.0221949,5.453586489,1.107229527,87.7938,129.0971385,11.36209217,0.68006,0.851226,110.162162,2.254782935,0.434254,0.658979514,1,0,0.658979514,2.517497856,0.418702,0.647071866,1,0,0.647071866,2.545423395,25.6885,259.2870351,5.068382385,0.0990736,0.352102,91.29686456,4.553997492,3.0724,1.752826289,1,0,1.752826289,1.57050719
0.38,368.833,0,0.920051,4.969031687,2.229132496,0.185157,0.0583464,0.50439117,1.548220882,69.8303,114.9157842,10.71987799,0.607665,0.194374,23.26712153,1.333195211,45.2415,160.3847831,12.66431139,0.282081,0.0224449,5.071535724,1.112099195,39.3417,116.8446188,10.80946894,0.336701,0.685995,80.23741176,3.039500371,0.434254,0.658979514,1,0,0.658979514,2.517497856,0.418702,0.647071866,1,0,0.647071866,2.545423395,20.808,242.1483333,4.561578674,0.0859308,0.329715,79.84089994,4.837029024,1.77147,1.330965815,1,0,1.330965815,1.7513340980.347660078
0.39,352.439,0,0.863623,4.644233044,2.15504827,0.185956,0.0613659,0.491751438,1.569405213,81.1377,106.1203376,10.3014726,0.764582,0.231184,25.76665322,1.317566966,42.9503,143.0094029,11.95865389,0.300332,0.0246661,5.034132946,1.11720833,65.92613763,108.9677513,10.43876196,0.605005948,0.624895482,68.38570302,2.037307895,0.434254,0.658979514,1,0,0.658979514,2.517497856,0.39556,0.628935609,1,0,0.628935609,2.589987888,17.2606,218.5563877,4.154587826,0.0789755,0.346779,75.7914758,5.391010498,1.29706,1.13888542,1,0,1.13888542,1.878051455
0.4,334.364,0,0.774622,4.037749225,2.009415145,0.191845,0.0661709,0.469034446,1.605501065,78.803,101.5235685,10.07589046,0.776204,0.241846,25.76859327,1.327000156,40.1693,129.0455538,11.35982191,0.31128,0.0270343,4.967355624,1.123660498,60.87878723,102.5121966,10.12483069,0.593868723,0.632213655,65.08793763,2.069139853,0.434254,0.658979514,1,0,0.658979514,2.517497856,0.261107,0.510986301,1,0,0.510986301,2.956999625,14.9349,206.1666821,3.864569834,0.0724409,0.373932,77.09282807,6.161924624,1.29706,1.13888542,1,0,1.13888542,1.878051455
